93;COL SAO VICENTE DE PAULO;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;662,63;621,1;726,98;630,52;671,9;753,4
94;ALBERT SABIN COLEGIO;SAO PAULO;SP;Privada;80% ou mais;Muito Alto;662;614,97;726,97;641;665,07;725,11
95;LEONARDO DA VINCI COLEGIO ANGLO;OSASCO;SP;Privada;80% ou mais;Muito Alto;661,79;616,08;714,78;654,59;661,73;736
96;COLTEC - COLEGIO TECNICO DA UFMG;BELO HORIZONTE;MG;Federal;80% ou mais;Alto;661,66;611,38;724,52;647,03;663,71;684,5
97;LEONARDO DA VINCI COLEGIO DE ENSINO FUNDAMENTAL E MEDIO;JUNDIAI;SP;Privada;80% ou mais;Muito Alto;661,54;613,03;726,4;643,08;663,64;648,76
98;PROGRESSO CAMPINEIRO COLEGIO;CAMPINAS;SP;Privada;De 60% a 80%;Muito Alto;661,37;610,99;720,14;636,48;677,87;732,86
99;LAVINIENSE ENSINO INTEGRADO;MANAUS;AM;Privada;80% ou mais;Muito Alto;661,34;620,85;706,67;649,34;668,5;753
100;TERMOMECANICA COLEGIO;SAO BERNARDO DO CAMPO;SP;Privada;80% ou mais;Muito Alto;661,24;630,02;712,06;629,08;673,8;793,3
101;COL PODION;BRASILIA;DF;Privada;De 20% a 40%;Muito Alto;660,39;614,92;714,08;644,7;667,85;711,67
102;COL BAHIENSE LTDA;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;660,37;616,33;726,09;642,63;656,44;751,15
103;ESCOLA SAO DOMINGOS;VITORIA;ES;Privada;80% ou mais;Muito Alto;660,09;619,48;730,3;628,5;662,07;672,13
104;COLEGIO ACESSO;FEIRA DE SANTANA;BA;Privada;De 60% a 80%;Muito Alto;659,81;626,99;699,87;642,74;669,64;699,64
105;ASTHER COLEGIO;CAMPINAS;SP;Privada;80% ou mais;Muito Alto;659,34;620,97;716,93;634,83;664,63;793,33
